,cognitive_process_dimension_level,knowledge_dimension_level,Analyzing,Understanding,Evaluating,Applying,Remembering,Creating,conceptual_knowledge,factual_knowledge,procedural_knowledge,metacognitive_knowledge,bloom_todo
14061,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14062,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14063,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
14064,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
14065,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14066,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14067,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14068,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14069,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14070,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14071,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14072,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14073,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14074,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14075,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14076,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14077,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14078,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
14079,Creating,Procedural Knowledge,0,0,0,0,0,1,0,0,0,0,0
14080,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14081,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14082,Evaluating,Metacognitive Knowledge,0,0,1,0,0,0,0,0,0,0,0
14083,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14084,"Evaluating, Creating","Metacognitive Knowledge, Procedural Knowledge",0,0,1,0,0,1,0,0,0,0,0
14085,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14086,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14087,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14088,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14089,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14090,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14091,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14092,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14093,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14094,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14095,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14096,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14097,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14098,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14099,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14100,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14101,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14102,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14103,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14104,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14105,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14106,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14107,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14108,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14109,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14110,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14111,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14112,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14113,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14114,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14115,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14116,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14117,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14118,Evaluating,"Procedural Knowledge, Metacognitive Knowledge",0,0,1,0,0,0,0,0,0,0,0
14119,Evaluating,"Procedural Knowledge, Metacognitive Knowledge",0,0,1,0,0,0,0,0,0,0,0
14120,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14121,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14122,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14123,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
14124,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
14125,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
14126,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14127,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14128,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14129,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14130,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14131,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14132,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14133,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14134,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14135,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14136,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14137,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14138,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14139,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
14140,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14141,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14142,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14143,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14144,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
14145,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
14146,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14147,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14148,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14149,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14150,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14151,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14152,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14153,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14154,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14155,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14156,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14157,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14158,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14159,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14160,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14161,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14162,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14163,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14164,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14165,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14166,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14167,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14168,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14169,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14170,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14171,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14172,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14173,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14174,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14175,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14176,Remembering,Conceptual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14177,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14178,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
14179,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14180,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14181,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14182,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14183,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14184,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14185,Creating,Conceptual Knowledge,0,0,0,0,0,1,0,0,0,0,0
14186,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14187,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14188,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14189,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14190,"Understanding, Evaluating",Conceptual Knowledge,0,1,1,0,0,0,0,0,0,0,0
14191,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14192,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14193,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14194,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14195,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14196,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14197,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
14198,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
14199,Applying,Conceptual Knowledge,0,0,0,1,0,0,0,0,0,0,0
14200,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14201,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14202,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
14203,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
14204,Analyzing,Procedural Knowledge,1,0,0,0,0,0,0,0,0,0,0
14205,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14206,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14207,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14208,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14209,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14210,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14211,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14212,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14213,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14214,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14215,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14216,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14217,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14218,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14219,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14220,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14221,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14222,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14223,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14224,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14225,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14226,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14227,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14228,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14229,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14230,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14231,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14232,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14233,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14234,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14235,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14236,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14237,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14238,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14239,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14240,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14241,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14242,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14243,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14244,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14245,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14246,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14247,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14248,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14249,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14250,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14251,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14252,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14253,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14254,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14255,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14256,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14257,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14258,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14259,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14260,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14261,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14262,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14263,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14264,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14265,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14266,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14267,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14268,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14269,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14270,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14271,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14272,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14273,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14274,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14275,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14276,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14277,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14278,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14279,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14280,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14281,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14282,Evaluating,Metacognitive Knowledge,0,0,1,0,0,0,0,0,0,0,0
14283,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14284,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14285,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14286,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14287,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
14288,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14289,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14290,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14291,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14292,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14293,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
14294,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
14295,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14296,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14297,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14298,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
14299,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14300,Understanding,Procedural Knowledge,0,1,0,0,0,0,0,0,0,0,0
14301,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14302,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14303,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14304,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14305,Applying,Procedural Knowledge,0,0,0,1,0,0,0,0,0,0,0
14306,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14307,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14308,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14309,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14310,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14311,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14312,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14313,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14314,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14315,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14316,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14317,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14318,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14319,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14320,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14321,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14322,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14323,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14324,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14325,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14326,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14327,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14328,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14329,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14330,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14331,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14332,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14333,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14334,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14335,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14336,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14337,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14338,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14339,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14340,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14341,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14342,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14343,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14344,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14345,"Understanding, Applying","Conceptual Knowledge, Procedural Knowledge",0,1,0,1,0,0,0,0,0,0,0
14346,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14347,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14348,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14349,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14350,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14351,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14352,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14353,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14354,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14355,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14356,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14357,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14358,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14359,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14360,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14361,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14362,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14363,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14364,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14365,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14366,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14367,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14368,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14369,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14370,Remembering,Factual Knowledge,0,0,0,0,1,0,0,0,0,0,0
14371,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14372,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14373,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14374,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14375,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14376,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14377,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14378,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14379,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14380,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14381,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14382,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14383,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14384,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14385,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14386,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14387,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14388,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14389,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14390,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14391,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14392,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14393,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14394,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
14395,Evaluating,Conceptual Knowledge,0,0,1,0,0,0,0,0,0,0,0
14396,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14397,Understanding,Conceptual Knowledge,0,1,0,0,0,0,0,0,0,0,0
14398,Analyzing,Conceptual Knowledge,1,0,0,0,0,0,0,0,0,0,0
